respondent_id,xyz_vaccine,seasonal_vaccine
0,0.03307004007541907,0.06180371291202682
1,0.28726565568644835,0.17713368845564476
2,0.036581891304967716,0.12757838007602393
3,0.09070244600990032,0.9028237955178483
4,0.05948169030547198,0.08085471028182069
5,0.20909578450619487,0.8355747462637376
6,0.07344572058457918,0.3440825330409316
7,0.5281087660450282,0.41519511613966126
8,0.06629259664318139,0.3416855098602415
9,0.09469031871958292,0.43486121394135363
10,0.048993517373248516,0.6291254511596643
11,0.0769435485463564,0.35098141850672815
12,0.055194479168062326,0.9072738955503552
13,0.02982860330790078,0.23736610474220873
14,0.3249506665105576,0.6393829179684789
15,0.06819497628078992,0.042160219087289265
16,0.26388382582866154,0.8769377346230892
17,0.08434425942968489,0.29453726627887966
18,0.7187550319152585,0.8862307206032963
19,0.10883603483029569,0.534974842204726
20,0.34591934220667797,0.3383540853228156
21,0.4196541942681467,0.4469560196791311
22,0.330155883309969,0.22322159487832316
23,0.2086211141584306,0.2230834463491487
24,0.1209044465138039,0.054458831444916526
25,0.06326330345330745,0.29774869721318137
26,0.21871136511245753,0.7247376473619227
27,0.10938644468799262,0.24148850433528873
28,0.012727585496466173,0.0831775903655879
29,0.18162593939307003,0.3384638495955807
30,0.06337851338385492,0.28223517964094275
31,0.09900085299364415,0.13747056595861734
32,0.08447114352291817,0.23392172147111834
33,0.7357872760148556,0.5992495408541259
34,0.1439851924364645,0.18603586520859527
35,0.5275369176486377,0.4122020257277283
36,0.10564871893643206,0.37768263603594543
37,0.054779649711787,0.14566039662559127
38,0.24829986980884497,0.5524493631535154
39,0.440610244355658,0.925929534392632
40,0.23468818483075005,0.4295818840620163
41,0.3813786551381553,0.8246226030111504
42,0.036675273043377504,0.05128150174363519
43,0.22602442063232253,0.059938038249075155
44,0.050842859534421865,0.16343785935079674
45,0.028530642502409713,0.2874735036564148
46,0.22155813818458248,0.3304573757216188
47,0.20731544530965343,0.18729032975948354
48,0.34161301975336905,0.7711638491716575
49,0.2706842989810979,0.5094071067095731
50,0.18362297582623835,0.4826313036491376
51,0.08537679327115458,0.7622499704488195
52,0.10118700320624419,0.25714072922583986
53,0.12455538000069508,0.47371456607499407
54,0.0624401973685364,0.26779746965487944
55,0.10718255172587005,0.35672694934472493
56,0.10810309923474534,0.9408453734029842
57,0.09597685231150448,0.7194073147843848
58,0.10420595626432912,0.32507524004912053
59,0.036759486207540236,0.08063280328704561
60,0.6211164776430689,0.853358727721301
61,0.060678137599782675,0.36633572937892445
62,0.04470239162871943,0.22986944825878203
63,0.555433741939144,0.575214882598642
64,0.05657727149027699,0.15767293530286203
65,0.037736719027118226,0.21372419067574536
66,0.07947530142305732,0.07150731816183166
67,0.3485086732241662,0.4782625111295941
68,0.08855013016289746,0.6742432461035942
69,0.07764947050413737,0.6319432315246937
70,0.050811993452466446,0.18859180117482555
71,0.32190409321272107,0.9276276959111798
72,0.1498050967404725,0.39139514764013017
